fuente,codigo_comuna,nombre_comuna_base,nombre_fuente,nombre_normalizado,tipo_diferencia,requiere_homologacion_manual,observacion,llave_principal_proyecto
B,13113,LA REINA,LA REINA,LA REINA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13114,LAS CONDES,LAS CONDES,LAS CONDES,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13115,LO BARNECHEA,LO BARNECHEA,LO BARNECHEA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13116,LO ESPEJO,LO ESPEJO,LO ESPEJO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13117,LO PRADO,LO PRADO,LO PRADO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13118,MACUL,MACUL,MACUL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13119,MAIPU,MAIPÚ,MAIPU,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13120,ÑUÑOA,ÑUÑOA,NUNOA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13121,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13122,PEÑALOLEN,PEÑALOLÉN,PENALOLEN,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13123,PROVIDENCIA,PROVIDENCIA,PROVIDENCIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13124,PUDAHUEL,PUDAHUEL,PUDAHUEL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13125,QUILICURA,QUILICURA,QUILICURA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13126,QUINTA NORMAL,QUINTA NORMAL,QUINTA NORMAL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13127,RECOLETA,RECOLETA,RECOLETA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13128,RENCA,RENCA,RENCA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13129,SAN JOAQUIN,SAN JOAQUÍN,SAN JOAQUIN,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13130,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13131,SAN RAMON,SAN RAMÓN,SAN RAMON,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13132,VITACURA,VITACURA,VITACURA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13201,,PUENTE ALTO,PUENTE ALTO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13202,,PIRQUE,PIRQUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13203,,SAN JOSÉ DE MAIPO,SAN JOSE DE MAIPO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13301,,COLINA,COLINA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13302,,LAMPA,LAMPA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13303,,TILTIL,TILTIL,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13401,,SAN BERNARDO,SAN BERNARDO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13402,,BUIN,BUIN,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13403,,CALERA DE TANGO,CALERA DE TANGO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13404,,PAINE,PAINE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13501,,MELIPILLA,MELIPILLA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13502,,ALHUÉ,ALHUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13503,,CURACAVÍ,CURACAVI,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13504,,MARÍA PINTO,MARIA PINTO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13505,,SAN PEDRO,SAN PEDRO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13601,,TALAGANTE,TALAGANTE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13602,,EL MONTE,EL MONTE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13603,,ISLA DE MAIPO,ISLA DE MAIPO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13604,,PADRE HURTADO,PADRE HURTADO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13605,,PEÑAFLOR,PENAFLOR,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1101,,Iquique,IQUIQUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1107,,Alto Hospicio,ALTO HOSPICIO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1401,,Pozo Almonte,POZO ALMONTE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1402,,Camiña,CAMINA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1403,,Colchane,COLCHANE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1404,,Huara,HUARA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,1405,,Pica,PICA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2101,,Antofagasta,ANTOFAGASTA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2102,,Mejillones,MEJILLONES,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2103,,Sierra Gorda,SIERRA GORDA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2104,,Taltal,TALTAL,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2201,,Calama,CALAMA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2202,,Ollagüe,OLLAGUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2203,,San Pedro De Atacama,SAN PEDRO DE ATACAMA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2301,,Tocopilla,TOCOPILLA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,2302,,María Elena,MARIA ELENA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3101,,Copiapó,COPIAPO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3102,,Caldera,CALDERA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3103,,Tierra Amarilla,TIERRA AMARILLA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3201,,Chañaral,CHANARAL,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3202,,Diego De Almagro,DIEGO DE ALMAGRO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3301,,Vallenar,VALLENAR,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3302,,Alto Del Carmen,ALTO DEL CARMEN,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3303,,Freirina,FREIRINA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,3304,,Huasco,HUASCO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4101,,La Serena,LA SERENA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4102,,Coquimbo,COQUIMBO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4103,,Andacollo,ANDACOLLO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4104,,La Higuera,LA HIGUERA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4105,,Paiguano,PAIGUANO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4106,,Vicuña,VICUNA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4201,,Illapel,ILLAPEL,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4202,,Canela,CANELA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4203,,Los Vilos,LOS VILOS,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4204,,Salamanca,SALAMANCA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4301,,Ovalle,OVALLE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4302,,Combarbalá,COMBARBALA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4303,,Monte Patria,MONTE PATRIA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4304,,Punitaqui,PUNITAQUI,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,4305,,Río Hurtado,RIO HURTADO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5101,,Valparaíso,VALPARAISO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5102,,Casablanca,CASABLANCA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5103,,Concón,CONCON,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5104,,Juan Fernández,JUAN FERNANDEZ,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5105,,Puchuncaví,PUCHUNCAVI,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5107,,Quintero,QUINTERO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5109,,Viña Del Mar,VINA DEL MAR,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5201,,Isla De Pascua,ISLA DE PASCUA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5301,,Los Andes,LOS ANDES,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5302,,Calle Larga,CALLE LARGA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5303,,Rinconada,RINCONADA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5304,,San Esteban,SAN ESTEBAN,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5401,,La Ligua,LA LIGUA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5402,,Cabildo,CABILDO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5403,,Papudo,PAPUDO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5404,,Petorca,PETORCA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5405,,Zapallar,ZAPALLAR,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5501,,Quillota,QUILLOTA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5502,,Calera,CALERA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5503,,Hijuelas,HIJUELAS,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5504,,La Cruz,LA CRUZ,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5506,,Nogales,NOGALES,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5601,,San Antonio,SAN ANTONIO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5602,,Algarrobo,ALGARROBO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5603,,Cartagena,CARTAGENA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5604,,El Quisco,EL QUISCO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5605,,El Tabo,EL TABO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5606,,Santo Domingo,SANTO DOMINGO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5701,,San Felipe,SAN FELIPE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5702,,Catemu,CATEMU,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5703,,Llaillay,LLAILLAY,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5704,,Panquehue,PANQUEHUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5705,,Putaendo,PUTAENDO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
C,5706,,Santa María,SANTA MARIA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
